시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,반포미도아파트,서울특별시 서초구 반포동 60-4,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방배1차 e편한세상,서울특별시 서초구 방배동 884-2,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방배3차e편한세상,서울특별시 서초구 방배동 797-30,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방배동부센트레빌 아파트,서울특별시 서초구 방배동 3275,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방배롯데캐슬아르떼,서울특별시 서초구 방배동 424-28,0,6,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울시립어린이병원,서울특별시 서초구 내곡동 6-7,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초2차e편한세상아파트,서울특별시 서초구 서초동 1529,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초경남아너스빌201동,서울특별시 서초구 서초동 1456-2,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초네이처힐1단지,서울특별시 서초구 우면동 707,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초네이처힐6단지,서울특별시 서초구 우면동 737,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초네이처힐7단지,서울특별시 서초구 우면동 735,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초동일하이빌,서울특별시 서초구 서초동 1542-1,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초롯데캐슬84,서울특별시 서초구 서초동 1642-14,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초롯데캐슬프레지던트,서울특별시 서초구 서초동 1681-8,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초리젠 아파트,서울특별시 서초구 서초동 1444-19,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초아크빌,서울특별시 서초구 서초동 1568-1,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초포레스타5단지,서울특별시 서초구 신원동 374,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서초호반써밋아파트,서울특별시 서초구 우면동 753,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
